match_no,ballnumber,inningno,over,outcome,batter,bowler,comment
41,11,1,1.3,0,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, no run,"
41,12,1,1.4,4,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, Four,"
41,13,1,1.5,4,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, Four,"
41,14,1,1.6,0,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, no run,"
41,15,1,2.1,4,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, Four,"
41,16,1,2.2,0,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, no run,"
41,17,1,2.3,4,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, Four,"
41,18,1,2.4,1,Ruturaj Gaikwad,Arshdeep Singh,"Arshdeep Singh to Ruturaj Gaikwad, 1 run,"
41,19,1,2.5,0,Devon Conway,Arshdeep Singh,"Arshdeep Singh to Devon Conway, no run,"
41,20,1,2.6,4,Devon Conway,Arshdeep Singh,"Arshdeep Singh to Devon Conway, Four,"
41,21,1,3.1,1,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, 1 run,"
41,22,1,3.2,0,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, no run,"
41,23,1,3.3,1,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 1 run,"
41,24,1,3.4,0,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, no run,"
41,25,1,3.5,1,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, 1 run,"
41,26,1,3.6,0,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, no run,"
41,27,1,4.1,0,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, no run,"
41,28,1,4.2,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,29,1,4.3,0,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, no run,"
41,30,1,4.4,1,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, 1 run,"
41,31,1,4.5,6,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, Six,"
41,32,1,4.6,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,33,1,5.1,1,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, 1 run,"
41,34,1,5.2,4,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, Four,"
41,35,1,5.3,4,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, Four,"
41,36,1,5.4,1,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 1 run,"
41,37,1,5.5,1wd,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, 1 wide,"
41,38,1,5.5,4,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, Four,"
41,39,1,5.6,1,Ruturaj Gaikwad,Sam Curran,"Sam Curran to Ruturaj Gaikwad, 1 run,"
41,40,1,6.1,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,41,1,6.2,1,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, 1 run,"
41,42,1,6.3,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,43,1,6.4,0,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, no run,"
41,44,1,6.5,1,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, 1 run,"
41,45,1,6.6,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,46,1,7.1,0,Ruturaj Gaikwad,Sikandar Raza,"Sikandar Raza to Ruturaj Gaikwad, no run,"
41,47,1,7.2,1,Ruturaj Gaikwad,Sikandar Raza,"Sikandar Raza to Ruturaj Gaikwad, 1 run,"
41,48,1,7.3,4,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, Four,"
41,49,1,7.4,0,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, no run,"
41,50,1,7.5,0,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, no run,"
41,51,1,7.6,0,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, no run,"
41,52,1,8.1,1,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 1 run,"
41,53,1,8.2,6,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, Six,"
41,54,1,8.3,1,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, 1 run,"
41,55,1,8.4,0,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, no run,"
41,56,1,8.5,0,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, no run,"
41,57,1,8.6,2,Ruturaj Gaikwad,Rahul Chahar,"Rahul Chahar to Ruturaj Gaikwad, 2 runs,"
41,58,1,9.1,4,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, Four,"
41,59,1,9.2,4,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, Four,"
41,60,1,9.3,1,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, 1 run,"
41,61,1,9.4,w,Ruturaj Gaikwad,Sikandar Raza,"Sikandar Raza to Ruturaj Gaikwad, no run,                           Wicket - st JM Sharma b Sikandar Raza batsmen out 37(31)"
41,62,1,9.5,2,Shivam Dube,Sikandar Raza,"Sikandar Raza to Shivam Dube, 2 runs,"
41,63,1,9.6,2,Shivam Dube,Sikandar Raza,"Sikandar Raza to Shivam Dube, 2 runs,"
41,64,1,10.1,1,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, 1 run,"
41,65,1,10.2,0,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, no run,"
41,66,1,10.3,0,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, no run,"
41,67,1,10.4,1,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, 1 run,"
41,68,1,10.5,1,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, 1 run,"
41,69,1,10.6,1,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, 1 run,"
41,70,1,11.1,6,Shivam Dube,Sikandar Raza,"Sikandar Raza to Shivam Dube, Six,"
41,71,1,11.2,1,Shivam Dube,Sikandar Raza,"Sikandar Raza to Shivam Dube, 1 run,"
41,72,1,11.3,4,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, Four,"
41,73,1,11.4,1,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, 1 run,"
41,74,1,11.5,1,Shivam Dube,Sikandar Raza,"Sikandar Raza to Shivam Dube, 1 run,"
41,75,1,11.6,0,Devon Conway,Sikandar Raza,"Sikandar Raza to Devon Conway, no run,"
41,76,1,12.1,6,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, Six,"
41,77,1,12.2,1,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, 1 run,"
41,78,1,12.3,1,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, 1 run,"
41,79,1,12.4,0,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, no run,"
41,80,1,12.5,1wd,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, 1 wide,"
41,81,1,12.5,1,Shivam Dube,Kagiso Rabada,"Kagiso Rabada to Shivam Dube, 1 run,"
41,82,1,12.6,4,Devon Conway,Kagiso Rabada,"Kagiso Rabada to Devon Conway, Four,"
41,83,1,13.1,4,Shivam Dube,Arshdeep Singh,"Arshdeep Singh to Shivam Dube, Four,"
41,84,1,13.2,1wd,Shivam Dube,Arshdeep Singh,"Arshdeep Singh to Shivam Dube, 1 wide,"
41,85,1,13.2,1,Shivam Dube,Arshdeep Singh,"Arshdeep Singh to Shivam Dube, 1 run,"
41,86,1,13.3,1,Devon Conway,Arshdeep Singh,"Arshdeep Singh to Devon Conway, 1 run,"
41,87,1,13.4,1,Shivam Dube,Arshdeep Singh,"Arshdeep Singh to Shivam Dube, 1 run,"
41,88,1,13.5,1,Devon Conway,Arshdeep Singh,"Arshdeep Singh to Devon Conway, 1 run,"
41,89,1,13.6,w,Shivam Dube,Arshdeep Singh,"Arshdeep Singh to Shivam Dube, no run,                           Wicket - c Shahrukh Khan b Arshdeep Singh batsmen out 28(17)"
41,90,1,14.1,4,ne,Liam Livings,"Liam Livingstone to Devon Conway, Four,"
41,91,1,14.2,2,ne,Liam Livings,"Liam Livingstone to Devon Conway, 2 runs,"
41,92,1,14.3,1,ne,Liam Livings,"Liam Livingstone to Devon Conway, 1 run,"
41,93,1,14.4,4,ne,Liam Livings,"Liam Livingstone to Moeen Ali, Four,"
41,94,1,14.5,1,ne,Liam Livings,"Liam Livingstone to Moeen Ali, 1 run,"
41,95,1,14.6,4,ne,Liam Livings,"Liam Livingstone to Devon Conway, Four,"
41,96,1,15.1,0,Moeen Ali,Sam Curran,"Sam Curran to Moeen Ali, no run,"
41,97,1,15.2,4,Moeen Ali,Sam Curran,"Sam Curran to Moeen Ali, Four,"
41,98,1,15.3,1,Moeen Ali,Sam Curran,"Sam Curran to Moeen Ali, 1 run,"
41,99,1,15.4,4,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, Four,"
41,100,1,15.5,1wd,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 1 wide,"
41,101,1,15.5,0,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, no run,"
41,102,1,15.6,2,Devon Conway,Sam Curran,"Sam Curran to Devon Conway, 2 runs,"
41,103,1,16.1,w,Moeen Ali,Rahul Chahar,"Rahul Chahar to Moeen Ali, no run,                           Wicket - st JM Sharma b RD Chahar batsmen out 10(6)"
41,104,1,16.2,2,Ravindra Jadeja,Rahul Chahar,"Rahul Chahar to Ravindra Jadeja, 2 runs,"
41,105,1,16.3,1,Ravindra Jadeja,Rahul Chahar,"Rahul Chahar to Ravindra Jadeja, 1 run,"
41,106,1,16.4,0,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, no run,"
41,107,1,16.5,4,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, Four,"
41,108,1,16.6,4,Devon Conway,Rahul Chahar,"Rahul Chahar to Devon Conway, Four,"
41,109,1,17.1,2,Ravindra Jadeja,Arshdeep Singh,"Arshdeep Singh to Ravindra Jadeja, 2 runs,"
41,110,1,17.2,2,Ravindra Jadeja,Arshdeep Singh,"Arshdeep Singh to Ravindra Jadeja, 2 runs,"
41,111,1,17.3,0,Ravindra Jadeja,Arshdeep Singh,"Arshdeep Singh to Ravindra Jadeja, no run,"
41,112,1,17.4,2,Ravindra Jadeja,Arshdeep Singh,"Arshdeep Singh to Ravindra Jadeja, 2 runs,"
